Xl,gamma,al,exp.al
 1.211500e-01,-3.162278e-02, 2.823600e+04, 1.163736e+04
 1.072500e-01,-3.162278e-02, 1.393800e+04, 1.072723e+04
 6.297500e-02,-3.162278e-02, 2.312000e+03, 7.432043e+03
 1.067500e-02,-3.162278e-02, 3.020000e+02, 1.958405e+03
 1.235500e-01,-3.162278e-02, 2.780000e+03, 1.178981e+04
 6.532500e-02,-3.162278e-02, 2.105000e+03, 7.626382e+03
 6.013250e-01,-3.162278e-02, 2.030200e+04, 3.068469e+04
 6.187250e-01,-3.162278e-02, 8.990600e+04, 3.116194e+04
 8.252500e-02,-3.162278e-02, 8.725000e+03, 8.974386e+03
 9.228750e-01,-3.162278e-02, 2.981900e+04, 3.841469e+04
 4.302500e-02,-3.162278e-02, 1.584000e+03, 5.656540e+03
 4.744250e-01,-3.162278e-02, 5.377000e+03, 2.692183e+04
 4.522500e-01,-3.162278e-02, 2.443600e+04, 2.620531e+04
 1.313000e-01,-3.162278e-02, 1.961000e+04, 1.227339e+04
 2.152500e-02,-3.162278e-02, 1.452300e+04, 3.376634e+03
 1.195000e-01,-3.162278e-02, 3.771000e+03, 1.153178e+04
 4.037500e-02,-3.162278e-02, 5.313000e+03, 5.400404e+03
 1.710000e-02,-3.162278e-02, 1.399000e+03, 2.830348e+03
 2.645000e-02,-3.162278e-02, 1.108000e+03, 3.946532e+03
 3.702500e-02,-3.162278e-02, 1.515000e+03, 5.068218e+03
 1.646250e-01,-3.162278e-02, 7.574000e+03, 1.421975e+04
 1.327500e-02,-3.162278e-02, 1.487000e+03, 2.324755e+03
 3.612500e-02,-3.162278e-02, 8.020000e+02, 4.977269e+03
 5.597500e-02,-3.162278e-02, 2.121000e+03, 6.836299e+03
 3.311500e-01,-3.162278e-02, 1.715300e+04, 2.188578e+04
 1.645000e-02,-3.162278e-02, 5.180000e+02, 2.746849e+03
 2.761500e-01,-3.162278e-02, 1.179400e+04, 1.963542e+04
