Xl,gamma,al
    0.001375,  -20.000000,   55.000000
    0.002700,  -20.000000,  253.000000
    0.000050,  -20.000000,    1.000000
    0.000400,  -20.000000,   24.000000
    0.005350,  -20.000000,  502.000000
    0.001875,  -20.000000,  132.000000
    0.000025,  -20.000000,    1.000000
    0.000175,  -20.000000,  107.000000
    0.008350,  -20.000000,  262.000000
    0.000475,  -20.000000,   19.000000
    0.003200,  -20.000000,  142.000000
    0.000275,  -20.000000,    6.000000
    0.000125,  -20.000000,    5.000000
    0.003525,  -20.000000,  279.000000
    0.000700,  -20.000000,   10.000000
    0.000025,  -20.000000,    1.000000
    0.000225,  -20.000000,    3.000000
    0.000575,  -20.000000,    4.000000
    0.000100,  -20.000000,    7.000000
    0.000150,  -20.000000,   14.000000
    0.000025,  -20.000000,    1.000000
    0.005325,  -20.000000,  348.000000
    0.008175,  -20.000000,  860.000000
    0.000050,  -20.000000,    1.000000
    0.000825,  -20.000000,   29.000000
    0.000025,  -20.000000,    1.000000
    0.002525,  -20.000000,   75.000000
    0.001775,  -20.000000,  118.000000
    0.003350,  -20.000000,  546.000000
    0.003475,  -20.000000,  182.000000
    0.000125,  -20.000000,    2.000000
    0.000325,  -20.000000,    7.000000
    0.000050,  -20.000000,    1.000000
    0.001625,  -20.000000,  488.000000
    0.004350,  -20.000000,  491.000000
    0.000300,  -20.000000,    5.000000
    0.001300,  -20.000000,   16.000000
    0.000050,  -20.000000,    1.000000
    0.000225,  -20.000000,    8.000000
    0.003775,  -20.000000, 1366.000000
    0.000050,  -20.000000,    1.000000
    0.045825,  -20.000000, 4313.000000
    0.005250,  -20.000000,  339.000000
    0.001350,  -20.000000,   20.000000
    0.002025,  -20.000000,   59.000000
    0.057725,  -20.000000, 3875.000000
    0.006250,  -20.000000,  171.000000
    0.000100,  -20.000000,    3.000000
    0.000100,  -20.000000,    4.000000
    0.005225,  -20.000000,  988.000000
    0.002500,  -20.000000,  223.000000
    0.022150,  -20.000000, 1459.000000
    0.000050,  -20.000000,    1.000000
    0.000100,  -20.000000,    2.000000
    0.004650,  -20.000000,  342.000000
    0.020750,  -20.000000,  554.000000
    0.008100,  -20.000000, 3123.000000
    0.002200,  -20.000000,  452.000000
    0.044575,  -20.000000, 1902.000000
    0.000875,  -20.000000,   46.000000
    0.000075,  -20.000000,   12.000000
    0.015925,  -20.000000,  948.000000
    0.000700,  -20.000000,  172.000000
    0.027825,  -20.000000, 1528.000000
    0.013775,  -20.000000,  188.000000
    0.000950,  -20.000000,  531.000000
    0.000050,  -20.000000,    1.000000
    0.000125,  -20.000000,    4.000000
    0.021800,  -20.000000,  319.000000
    0.000425,  -20.000000,   16.000000
    0.000175,  -20.000000,   76.000000
    0.000425,  -20.000000,   15.000000
    0.000850,  -20.000000,   79.000000
    0.011875,  -20.000000,  881.000000
    0.001775,  -20.000000,   25.000000
    0.001075,  -20.000000,   56.000000
    0.000350,  -20.000000,   16.000000
    0.000050,  -20.000000,    1.000000
    0.000100,  -20.000000,  102.000000
    0.000325,  -20.000000,    5.000000
    0.000075,  -20.000000,    4.000000
    0.002100,  -20.000000,   63.000000
    0.000750,  -20.000000,  209.000000
    0.008650,  -20.000000,  346.000000
    0.050775,  -20.000000, 5679.000000
    0.001525,  -20.000000,   79.000000
    0.009700,  -20.000000,  986.000000
    0.000225,  -20.000000,  129.000000
    0.000175,  -20.000000,   14.000000
    0.007650,  -20.000000,  159.000000
    0.000150,  -20.000000,    3.000000
    0.000825,  -20.000000,   71.000000
    0.000100,  -20.000000,   21.000000
    0.006400,  -20.000000, 1026.000000
    0.000050,  -20.000000,    1.000000
    0.018025,  -20.000000,  657.000000
    0.000075,  -20.000000,   29.000000
    0.009725,  -20.000000, 2215.000000
