tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
37,1,-0.92129,-1.09898,-1.26974,-0.92339,-1.44233
38,0.332,-0.49848,-0.48642,-0.76692,-0.55645,-0.93279
39,0.005,-0.03461,-0.00036,-0.21208,-0.1088,-0.31442
40,0,-0.10665,-4.38725,-5.01688,-3.84088,-5.396
41,100,-97.97281,-47.87999,-100.66005,-99.27861,-123.18565
42,74.989,-78.42166,-32.36351,-84.01785,-80.21674,-103.40726
43,56.423,-54.36121,-26.58436,-50.91727,-50.28358,-62.87279
44,42.17,-41.29748,-26.23199,-43.26088,-45.57703,-53.03499
45,31.623,-33.92847,-21.15286,-37.53917,-35.15775,-45.03396
46,23.714,-24.05739,-17.8991,-27.84539,-26.46348,-33.00713
47,17.783,-16.73713,-11.82152,-17.2711,-15.90043,-19.79116
48,13.335,-11.59247,-9.29959,-12.57726,-12.04254,-14.60817
49,10,-11.22533,-9.13778,-11.87897,-11.36005,-13.70008
50,7.499,-8.23334,-6.42115,-9.15621,-8.69195,-10.54879
51,5.623,-5.35974,-4.85955,-5.90054,-5.32138,-6.49446
52,4.217,-4.30017,-3.7397,-4.57552,-4.03518,-5.06213
53,3.162,-2.98145,-2.98618,-3.41183,-3.03294,-3.70929
54,2.371,-2.22422,-2.23677,-2.52539,-2.21538,-2.79437
55,1.778,-1.63258,-1.64894,-2.04924,-1.67809,-2.2611
56,1.334,-1.01499,-1.06889,-1.40322,-1.10277,-1.55109
57,1,-0.86917,-0.84759,-1.22162,-0.96536,-1.38748
58,0.332,-0.4264,-0.50045,-0.75907,-0.49908,-0.88009
59,0.005,0.2773,0.66405,0.68866,0.20865,3.56413
60,0,0.59763,-5.87563,-7.19196,-5.59981,-7.94405
61,100,NaN,NaN,NaN,NaN,NaN
62,74.989,-76.29038,-39.24463,-76.7876,-73.7825,-95.11824
63,56.423,-55.83011,-31.39871,-54.0791,-55.6639,-66.20793
64,42.17,-36.2851,-21.17179,-36.22348,-39.15806,-44.37477
65,31.623,-27.81974,-18.0827,-26.6046,-25.85874,-31.65487
66,23.714,-22.51411,-16.3385,-24.84214,-24.51326,-30.03628
67,17.783,-18.85257,-11.52082,-21.09598,-22.85935,-25.95105
68,13.335,-13.44584,-11.11304,-14.64209,-12.6486,-16.75017
69,10,-9.57475,-7.77312,-10.07331,-9.67535,-11.58393
70,7.499,-8.15621,-7.4523,-9.74758,-8.75423,-11.00126
71,5.623,-5.18829,-5.14599,-6.39735,-5.75419,-7.19468
72,4.217,-3.46109,-3.81227,-4.47176,-3.97804,-4.91351
73,3.162,-3.27978,-3.3067,-3.75157,-3.23457,-4.09407
74,2.371,-2.51036,-2.53,-2.93495,-2.57355,-3.2121
75,1.778,-1.86012,-1.93228,-2.24027,-1.89743,-2.48666
76,1.334,-1.10326,-1.27408,-1.53427,-1.2903,-1.73481
77,1,-0.91322,-0.82359,-1.25228,-1.00091,-1.45951
78,0.332,-0.20485,-0.13738,-0.42706,-0.28739,-0.54542
79,0.005,-0.15239,0.00099,-0.36379,-0.24229,-0.48661
80,0,-0.50787,-4.47929,-5.09636,-3.96347,-5.51161
81,100,-99.32698,-44.59585,-102.72263,-110.22009,-129.32518
82,74.989,-65.99868,-39.5573,-67.07623,-68.66522,-82.94858
