tid,gamma,trueage,freqonly
76,46.416,-45.84963,-50.02113
77,39.811,-35.7713,-39.44088
78,34.145,-30.38456,-36.03059
79,29.286,-26.02041,-31.08944
80,25.119,-21.99852,-26.05027
81,21.544,-17.9146,-22.29185
82,18.478,-16.37608,-19.90079
83,15.849,-13.95633,-16.34022
84,13.594,-12.40306,-15.1416
85,11.659,-10.64899,-12.48937
86,10,-9.28955,-10.22992
87,8.577,-8.21613,-8.99069
88,7.356,-6.94914,-7.39465
89,6.31,-6.43814,-6.63461
90,5.412,-5.69959,-5.6594
91,4.642,-4.70103,-4.56629
92,3.981,-4.20983,-4.00209
93,3.415,-3.50183,-3.17712
94,2.929,-2.79137,-2.41319
95,2.512,-2.34992,-1.97977
96,2.154,-2.09185,-1.68491
97,1.848,-1.86167,-1.5224
98,1.585,-1.85747,-1.42227
99,1.359,-1.29537,-0.98996
100,1.166,-0.7364,-0.61229
101,1,-0.8233,-0.63492
102,0.457,0.09544,-0.06712
103,0.152,5.00248,0.44872
104,0.023,2.51654,0.60148
105,0,1.38203,0.3747
106,100,-111.29279,-102.37196
107,85.77,-92.83018,-85.61029
108,73.564,-77.3347,-76.75679
109,63.096,-63.76063,-64.39169
110,54.117,-52.57293,-54.66334
111,46.416,-42.58389,-46.94296
112,39.811,-34.99841,-40.53573
113,34.145,-30.51486,-35.61017
114,29.286,-26.01386,-31.02185
115,25.119,-21.92196,-26.19042
116,21.544,-18.80246,-22.38217
117,18.478,-16.82273,-19.97162
118,15.849,-13.60284,-16.72456
119,13.594,-11.90615,-14.59865
120,11.659,-10.60483,-12.55666
121,10,-9.29919,-10.38395
122,8.577,-8.5229,-9.57218
123,7.356,-7.37277,-7.74025
124,6.31,-6.74479,-7.09913
125,5.412,-5.6018,-5.7118
126,4.642,-4.97099,-5.0102
127,3.981,-4.51371,-4.25128
128,3.415,-3.44345,-3.03389
129,2.929,-2.91255,-2.4514
130,2.512,-2.62724,-2.26304
131,2.154,-2.15265,-1.70576
132,1.848,-1.64716,-1.28567
133,1.585,-1.52424,-1.15174
134,1.359,-1.05404,-0.82413
135,1.166,-1.75155,-1.36783
136,1,-1.12641,-0.89876
137,0.457,0.24023,0.02689
138,0.152,0.48905,0.10317
139,0.023,1.4729,0.41747
140,0,1.81779,0.57953
141,100,-108.26607,-102.11645
142,85.77,-93.6596,-85.25562
143,73.564,-74.55529,-75.01346
144,63.096,-60.39311,-60.80815
145,54.117,-54.23115,-55.98336
146,46.416,-44.25108,-46.68106
147,39.811,-37.47586,-41.5714
148,34.145,-31.3414,-35.46314
149,29.286,-26.28226,-30.71355
150,25.119,-22.60251,-26.9672
151,21.544,-18.37058,-22.66899
152,18.478,-16.46024,-19.42888
153,15.849,-13.82231,-16.57472
154,13.594,-12.70713,-15.53454
155,11.659,-10.18709,-12.21311
156,10,-9.24783,-10.54786
157,8.577,-8.34696,-9.33933
158,7.356,-7.24828,-7.7189
159,6.31,-5.99234,-6.12663
160,5.412,-5.7388,-5.69869
161,4.642,-4.88862,-4.80733
162,3.981,-4.18853,-3.93059
163,3.415,-3.36795,-2.9984
164,2.929,-3.24778,-2.92841
165,2.512,-2.70777,-2.39451
166,2.154,-1.77321,-1.43077
167,1.848,-2.17016,-1.80469
168,1.585,-1.64726,-1.29411
169,1.359,-1.12671,-0.8384
170,1.166,-0.55654,-0.4477
171,1,-0.6972,-0.56292
172,0.457,0.50581,0.13396
173,0.152,1.07721,0.36266
174,0.023,1.94941,0.53371
175,0,4.52414,0.97826
176,100,-108.98983,-103.40677
177,85.77,-93.70516,-91.01467
178,73.564,-76.76448,-75.56257
179,63.096,-62.61735,-62.12654
180,54.117,-52.09332,-54.20257
181,46.416,-45.53071,-48.91177
182,39.811,-37.16443,-41.9425
183,34.145,-32.0994,-36.43223
184,29.286,-26.83963,-29.92536
185,25.119,-21.97973,-25.59238
186,21.544,-18.90356,-23.19038
187,18.478,-15.98005,-18.82292
188,15.849,-13.68696,-16.56862
189,13.594,-12.07796,-14.37734
190,11.659,-10.83671,-12.36402
191,10,-9.16069,-10.43804
192,8.577,-8.23136,-8.9987
193,7.356,-7.1847,-7.89367
194,6.31,-6.34937,-6.57707
195,5.412,-5.58825,-5.69762
196,4.642,-4.81397,-4.58085
197,3.981,-4.10638,-3.74661
198,3.415,-3.56588,-3.32399
199,2.929,-3.05023,-2.66324
200,2.512,-3.1204,-2.70517
201,2.154,-2.10185,-1.62388
202,1.848,-1.99336,-1.61579
203,1.585,-2.07469,-1.67541
204,1.359,-1.11297,-0.83911
205,1.166,-0.65238,-0.49616
206,1,-0.91705,-0.65094
207,0.457,2.7891,0.56841
208,0.152,4.91705,0.64519
209,0.023,2.76564,0.62835
210,0,1.70878,0.5097
211,100,-108.00939,-103.40589
212,85.77,-90.91171,-87.99225
213,73.564,-70.96668,-72.19419
214,63.096,-62.70715,-64.64254
215,54.117,-52.60587,-56.90043
216,46.416,-44.47311,-46.47558
217,39.811,-37.07681,-41.85923
218,34.145,-30.85027,-35.02604
219,29.286,-25.86197,-30.34628
220,25.119,-21.8286,-25.16525
221,21.544,-18.10521,-21.53749
222,18.478,-16.22758,-19.42025
223,15.849,-13.82554,-16.79792
224,13.594,-12.13533,-14.77993
225,11.659,-10.78417,-12.39866
226,10,-9.39087,-10.46251
227,8.577,-7.93322,-9.01181
228,7.356,-7.1638,-7.63321
229,6.31,-5.98585,-6.21609
230,5.412,-5.38731,-5.40125
231,4.642,-4.99267,-4.88947
232,3.981,-4.32755,-4.24206
233,3.415,-3.32743,-3.01985
234,2.929,-3.59116,-3.29503
235,2.512,-2.59578,-2.08932
236,2.154,-2.00879,-1.62146
237,1.848,-1.98241,-1.6137
238,1.585,-1.29167,-1.08131
239,1.359,-1.32207,-0.96774
240,1.166,-1.03988,-0.78273
241,1,-0.83178,-0.65126
242,0.457,-0.02933,-0.13164
243,0.152,0.79937,0.25138
244,0.023,4.05764,0.81824
245,0,4.35994,0.80701
246,100,-116.38224,-105.40343
247,85.77,-87.50533,-84.12228
248,73.564,-74.17765,-71.81839
249,63.096,-62.97201,-65.61417
250,54.117,-50.06084,-52.93094
251,46.416,-45.24291,-48.8548
252,39.811,-36.22331,-40.22744
253,34.145,-32.36815,-36.36935
254,29.286,-25.25387,-30.32462
255,25.119,-22.02417,-25.89539
256,21.544,-18.94053,-22.78488
257,18.478,-16.35999,-19.3789
258,15.849,-13.32401,-16.40989
259,13.594,-12.00876,-14.33817
260,11.659,-11.17631,-13.02305
261,10,-9.60871,-10.78651
262,8.577,-8.15827,-8.93715
263,7.356,-7.29199,-7.873
264,6.31,-6.48107,-6.78058
265,5.412,-5.35063,-5.27373
266,4.642,-4.66499,-4.57276
267,3.981,-3.99452,-3.73788
268,3.415,-3.75027,-3.3462
269,2.929,-3.54835,-3.20022
270,2.512,-2.45575,-2.24006
271,2.154,-2.47988,-2.03846
272,1.848,-1.83582,-1.45029
273,1.585,-1.67482,-1.35416
274,1.359,-1.25451,-0.97986
275,1.166,-0.99346,-0.76403
276,1,-0.41917,-0.37282
277,0.457,0.29642,0.02863
278,0.152,3.76707,0.6987
279,0.023,3.03417,0.58432
280,0,4.29659,0.88786
281,100,-106.75766,-99.87691
282,85.77,-92.45941,-87.71202
283,73.564,-77.79956,-76.40247
284,63.096,-63.08407,-64.29209
285,54.117,-52.92349,-54.55582
286,46.416,-43.63456,-47.7973
287,39.811,-37.96672,-42.74978
288,34.145,-29.21313,-33.72786
289,29.286,-27.02692,-31.22581
290,25.119,-21.76743,-26.70394
291,21.544,-18.6611,-21.9186
292,18.478,-16.66318,-20.09686
293,15.849,-13.14977,-16.07398
294,13.594,-12.38975,-15.05096
295,11.659,-10.67489,-12.54114
296,10,-9.5631,-10.92011
297,8.577,-8.40522,-9.41225
298,7.356,-7.37194,-8.07552
299,6.31,-6.26385,-6.4141
300,5.412,-5.38722,-5.46568
301,4.642,-4.79424,-4.53903
302,3.981,-4.25932,-3.95698
303,3.415,-3.80696,-3.61991
304,2.929,-2.93483,-2.63291
305,2.512,-2.68761,-2.29342
306,2.154,-2.38407,-1.95583
307,1.848,-2.1567,-1.77439
308,1.585,-2.00498,-1.62608
