tid,gamma,trueage,relmid,impsamp,freqonly
380,0,-5.08694,-4.41609,-4.67345,-3.9517
381,100,-88.20153,-68.53891,-79.18683,-84.5423
382,74.989,-75.17463,-53.57737,-66.18759,-74.25243
383,56.423,-53.07971,-46.59329,-53.24874,-56.49915
384,42.17,-40.2528,-30.95522,-39.54496,-42.13557
385,31.623,-38.51097,-31.8781,-37.03733,-38.95272
386,23.714,-23.47756,-19.88314,-23.49999,-24.3071
387,17.783,-19.26858,-16.23082,-19.78195,-20.23277
388,13.335,-14.31728,-13.37668,-14.90098,-14.51999
389,10,-9.75985,-8.74218,-10.15238,-9.66795
390,7.499,-8.22846,-8.08232,-8.87878,-8.30935
391,5.623,-5.85279,-5.62309,-6.30093,-5.84349
392,4.217,-4.01864,-4.05097,-4.35969,-3.89671
393,3.162,-3.14993,-3.17777,-3.38213,-3.05285
394,2.371,-2.31538,-2.4413,-2.6242,-2.44927
395,1.778,-1.70628,-1.96577,-1.99349,-1.70857
396,1.334,-1.2934,-1.5115,-1.53416,-1.31204
397,1,-1.28226,-1.41278,-1.45481,-1.16051
398,0.332,-0.34164,-0.52765,-0.50419,-0.28468
399,0.005,-0.23998,-0.37996,-0.33339,-0.17272
400,0,-5.40332,-4.58744,-4.86785,-4.1993
401,100,-130.18503,-109.86128,-114.40985,-129.85891
402,74.989,-69.52874,-59.01673,-68.48779,-70.36709
403,56.423,-47.88364,-40.43882,-46.1507,-49.59148
404,42.17,-54.8333,-49.38452,-54.33424,-54.97927
405,31.623,-32.90399,-27.65584,-31.16466,-31.76864
406,23.714,-24.91574,-21.0933,-24.73561,-24.56569
407,17.783,-19.49811,-18.72427,-21.03264,-20.71425
408,13.335,-13.80029,-12.54336,-14.315,-14.34129
409,10,-9.69972,-8.93684,-10.66971,-10.28491
410,7.499,-7.75338,-7.55312,-8.20429,-7.56387
411,5.623,-5.96354,-5.39195,-6.07766,-5.72067
412,4.217,-4.22121,-4.1999,-4.85334,-4.4909
413,3.162,-3.23816,-3.29695,-3.64214,-3.28956
