tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
356,1.334,-1.28349,-1.46808,-1.80109,-1.49617,-2.03944
357,1,-0.84769,-0.97938,-1.37097,-0.95121,-1.59275
358,0.332,-0.41673,-0.34744,-0.63606,-0.38938,-0.80747
359,0.005,0.16308,0.47815,1.49931,0.12342,3.50822
360,0,-0.41677,-4.19523,-4.75237,-3.65309,-5.01551
361,100,-120.27659,-14.74189,-43.38178,-397.5754,-43.1553
362,74.989,-92.23323,-59.5154,-72.71638,-194.72356,-70.17348
363,56.423,-77.65366,-29.34945,-67.25232,-120.35348,-65.2817
364,42.17,-23.13244,-16.08165,-25.18862,-18.34484,-26.19511
365,31.623,-30.62229,-17.35931,-29.5981,-35.37087,-30.44924
366,23.714,-23.15346,-14.05509,-22.61502,-21.55417,-23.51048
367,17.783,-16.74004,-9.62947,-14.83206,-13.90869,-15.72826
368,13.335,-10.35061,-9.74069,-12.60866,-11.51805,-13.5229
369,10,-9.24663,-7.91218,-10.89021,-9.66217,-11.74958
370,7.499,-7.49994,-6.64128,-8.19608,-7.79011,-8.87135
371,5.623,-5.29093,-5.0463,-7.01646,-6.87086,-7.78185
372,4.217,-3.32583,-3.63531,-4.12495,-3.67433,-4.42427
373,3.162,-3.06824,-3.0896,-3.88319,-3.2717,-4.16046
374,2.371,-2.07912,-1.96381,-2.42823,-2.1287,-2.69629
375,1.778,-1.58883,-1.47519,-1.97585,-1.60382,-2.23557
376,1.334,-1.46792,-1.54138,-1.95331,-1.51086,-2.17451
377,1,-1.02291,-1.04719,-1.51951,-1.13075,-1.73559
378,0.332,-0.44253,-0.52575,-0.74515,-0.57202,-0.94714
379,0.005,0.19216,0.5785,2.70956,0.0784,4.13418
380,0,-0.84652,-5.1572,-6.05239,-4.67571,-6.4486
381,100,-70.43464,-26.60052,-47.21381,-37.45333,-46.67336
382,74.989,-80.24089,-20.35447,-38.61493,-82.38178,-39.85884
383,56.423,-48.52016,-30.93961,-50.26938,-105.63645,-49.56258
384,42.17,-36.27398,-16.14018,-39.08819,-56.82403,-39.70382
385,31.623,-34.2507,-18.92569,-28.7673,-32.92216,-30.24001
386,23.714,-20.81559,-13.62345,-20.25789,-21.73993,-21.56325
387,17.783,-17.32702,-11.49057,-18.27709,-19.52419,-19.47554
388,13.335,-14.78794,-12.69443,-16.61203,-16.94259,-17.61807
389,10,-10.63887,-8.54104,-12.06623,-11.53697,-12.91574
390,7.499,-7.61773,-7.48443,-9.05871,-7.62688,-9.72195
391,5.623,-5.53368,-5.34205,-6.59138,-5.66274,-7.17114
392,4.217,-4.16538,-4.30035,-5.10545,-4.28281,-5.48781
393,3.162,-3.09325,-3.18299,-3.77329,-3.20098,-4.08458
394,2.371,-2.18306,-2.15554,-2.67976,-2.40398,-2.99144
395,1.778,-1.73889,-2.00627,-2.30121,-1.84333,-2.53173
396,1.334,-1.25124,-1.47576,-1.74197,-1.43224,-1.98687
