Xl,gamma,al
 7.400000e-03,-6.812921e+00, 6.108000e+03
 8.000000e-04,-4.641589e+00, 1.341000e+03
 6.000000e-04,-3.162278e+00, 2.813000e+03
 6.000000e-04,-2.154435e+00, 2.360000e+03
 1.000000e-03,-1.467799e+00, 5.722000e+03
 2.660000e-02,-1.000000e+00, 2.097400e+04
 1.800000e-03,-6.812921e-01, 1.090100e+04
 4.800000e-03,-4.641589e-01, 9.649000e+03
 6.000000e-04,-3.162278e-01, 7.884000e+03
 2.800000e-03,-2.154435e-01, 6.849000e+03
 4.000000e-04,-1.467799e-01, 9.530000e+02
 8.600000e-03,-1.000000e-01, 2.043500e+04
 1.200000e-03,-6.812921e-02, 7.868000e+03
 2.400000e-03,-4.641589e-02, 1.025000e+04
 3.600000e-03,-3.162278e-02, 1.635600e+04
 8.000000e-04,-2.154435e-02, 4.149000e+03
 4.400000e-03,-1.467799e-02, 2.667000e+04
 8.000000e-04,-1.000000e-02, 6.247000e+03
 1.400000e-03, 1.000000e-02, 8.365000e+03
 1.600000e-03, 1.467799e-02, 7.407000e+03
 6.800000e-03, 2.154435e-02, 1.694100e+04
 6.000000e-04, 3.162278e-02, 6.232000e+03
 1.000000e-03, 4.641589e-02, 5.996000e+03
 1.000000e-03, 6.812921e-02, 4.804000e+03
 1.440000e-02, 1.000000e-01, 1.950300e+04
 5.200000e-03, 1.467799e-01, 2.712300e+04
 1.400000e-03, 2.154435e-01, 6.166000e+03
 8.800000e-03, 3.162278e-01, 2.005200e+04
 2.400000e-03, 4.641589e-01, 1.126600e+04
 8.000000e-04, 6.812921e-01, 3.765000e+03
 5.000000e-03, 1.000000e+00, 9.462000e+03
 1.380000e-02, 1.467799e+00, 1.343100e+04
 8.000000e-04, 2.154435e+00, 5.877000e+03
 6.000000e-04, 3.162278e+00, 5.865000e+03
 5.000000e-03, 4.641589e+00, 8.267000e+03
 1.000000e-03, 6.812921e+00, 1.635000e+03
 2.800000e-03, 1.000000e+01, 2.808000e+03
 6.000000e-04, 1.467799e+01, 3.990000e+02
 1.400000e-03, 2.154435e+01, 8.450000e+02
 6.000000e-04, 3.162278e+01, 3.630000e+02
 4.000000e-03, 4.641589e+01, 6.310000e+02
 6.000000e-04, 6.812921e+01, 1.800000e+02
 2.800000e-03, 1.000000e+02, 2.600000e+02
 4.000000e-03,-1.000000e+02, 2.850000e+02
 5.600000e-03,-6.812921e+01, 4.820000e+02
 1.360000e-02,-4.641589e+01, 8.830000e+02
 1.400000e-03,-3.162278e+01, 6.370000e+02
 5.400000e-03,-2.154435e+01, 1.703000e+03
 1.600000e-03,-1.467799e+01, 1.140000e+03
 3.200000e-03,-1.000000e+01, 2.968000e+03
 4.400000e-03,-6.812921e+00, 4.490000e+03
 1.000000e-03,-4.641589e+00, 3.538000e+03
 8.000000e-04,-3.162278e+00, 3.909000e+03
 8.000000e-04,-2.154435e+00, 4.244000e+03
 6.000000e-04,-1.467799e+00, 1.926000e+03
 1.040000e-02,-1.000000e+00, 1.538200e+04
 9.800000e-03,-6.812921e-01, 1.640000e+04
 3.000000e-03,-4.641589e-01, 8.612000e+03
 1.800000e-03,-3.162278e-01, 7.824000e+03
 4.000000e-04,-2.154435e-01, 2.287000e+03
 1.200000e-03,-1.467799e-01, 9.164000e+03
 4.000000e-04,-1.000000e-01, 1.757000e+03
 8.800000e-03,-6.812921e-02, 1.489400e+04
 4.800000e-03,-4.641589e-02, 1.230200e+04
 1.000000e-03,-3.162278e-02, 4.926000e+03
 4.000000e-04,-2.154435e-02, 1.491000e+03
 2.000000e-03,-1.467799e-02, 9.339000e+03
 1.800000e-03,-1.000000e-02, 7.675000e+03
 8.000000e-04, 1.000000e-02, 2.223000e+03
 1.600000e-03, 1.467799e-02, 8.807000e+03
 8.000000e-04, 2.154435e-02, 2.994000e+03
 2.200000e-03, 3.162278e-02, 6.882000e+03
 3.000000e-03, 4.641589e-02, 2.024700e+04
 8.600000e-03, 6.812921e-02, 2.277600e+04
 3.000000e-03, 1.000000e-01, 1.334900e+04
 2.000000e-03, 1.467799e-01, 4.506000e+03
 8.000000e-04, 2.154435e-01, 8.481000e+03
 1.800000e-03, 3.162278e-01, 9.777000e+03
 1.200000e-03, 4.641589e-01, 5.763000e+03
 6.000000e-04, 6.812921e-01, 1.408400e+04
 5.600000e-03, 1.000000e+00, 1.694800e+04
 6.000000e-04, 1.467799e+00, 2.407000e+03
 1.800000e-03, 2.154435e+00, 5.245000e+03
 1.360000e-02, 3.162278e+00, 1.037000e+04
 1.600000e-03, 4.641589e+00, 2.644000e+03
 2.600000e-03, 6.812921e+00, 3.359000e+03
 4.400000e-03, 1.000000e+01, 2.693000e+03
 1.000000e-03, 1.467799e+01, 1.217000e+03
 2.000000e-03, 2.154435e+01, 1.174000e+03
 2.000000e-02, 3.162278e+01, 1.398000e+03
 6.800000e-03, 4.641589e+01, 7.880000e+02
 1.000000e-03, 6.812921e+01, 2.190000e+02
 1.000000e-03, 1.000000e+02, 1.410000e+02
 1.000000e-03,-1.000000e+02, 1.440000e+02
 6.200000e-03,-6.812921e+01, 4.830000e+02
 1.000000e-03,-4.641589e+01, 3.440000e+02
 2.600000e-03,-3.162278e+01, 7.410000e+02
 8.000000e-04,-2.154435e+01, 5.810000e+02
 4.000000e-04,-1.467799e+01, 3.740000e+02
 5.200000e-03,-1.000000e+01, 3.342000e+03
 6.000000e-04,-6.812921e+00, 8.050000e+02
 1.800000e-03,-4.641589e+00, 5.851000e+03
 8.000000e-04,-3.162278e+00, 1.590000e+03
 1.220000e-02,-2.154435e+00, 1.393200e+04
 4.000000e-04,-1.467799e+00, 7.760000e+02
 8.000000e-04,-1.000000e+00, 6.080000e+03
 9.200000e-03,-6.812921e-01, 1.525600e+04
 1.340000e-02,-4.641589e-01, 2.648700e+04
 6.000000e-04,-3.162278e-01, 5.332000e+03
 8.000000e-04,-2.154435e-01, 6.069000e+03
 5.000000e-03,-1.467799e-01, 1.714800e+04
 6.000000e-04,-1.000000e-01, 2.062000e+03
 6.000000e-04,-6.812921e-02, 2.819000e+03
 1.400000e-03,-4.641589e-02, 1.024800e+04
 1.000000e-03,-3.162278e-02, 3.689000e+03
 3.600000e-03,-2.154435e-02, 2.180200e+04
 1.200000e-03,-1.467799e-02, 6.055000e+03
 1.000000e-03,-1.000000e-02, 1.049400e+04
 8.000000e-04, 1.000000e-02, 7.192000e+03
 2.000000e-03, 1.467799e-02, 8.494000e+03
 2.800000e-03, 2.154435e-02, 7.578000e+03
 1.200000e-03, 3.162278e-02, 4.578000e+03
 3.000000e-03, 4.641589e-02, 1.467800e+04
 4.000000e-04, 6.812921e-02, 1.087000e+03
 1.600000e-03, 1.000000e-01, 8.172000e+03
 1.200000e-03, 1.467799e-01, 4.328000e+03
 5.200000e-03, 2.154435e-01, 2.499600e+04
 1.600000e-03, 3.162278e-01, 1.612800e+04
 8.000000e-04, 4.641589e-01, 2.732000e+03
 6.000000e-04, 6.812921e-01, 3.230000e+03
 1.600000e-03, 1.000000e+00, 5.961000e+03
 1.600000e-03, 1.467799e+00, 9.844000e+03
 2.200000e-03, 2.154435e+00, 7.052000e+03
 1.300000e-02, 3.162278e+00, 1.304500e+04
 1.600000e-03, 4.641589e+00, 5.545000e+03
 7.200000e-03, 6.812921e+00, 6.076000e+03
 1.000000e-03, 1.000000e+01, 1.623000e+03
 6.000000e-04, 1.467799e+01, 6.130000e+02
 2.200000e-03, 2.154435e+01, 9.720000e+02
 3.600000e-03, 3.162278e+01, 8.520000e+02
 4.000000e-04, 4.641589e+01, 1.340000e+02
 5.400000e-03, 6.812921e+01, 4.850000e+02
 2.200000e-03, 1.000000e+02, 2.460000e+02
 1.400000e-03,-1.000000e+02, 1.750000e+02
 5.600000e-03,-6.812921e+01, 5.210000e+02
 6.000000e-04,-4.641589e+01, 2.630000e+02
 3.000000e-03,-3.162278e+01, 8.110000e+02
 5.200000e-03,-2.154435e+01, 1.978000e+03
 1.600000e-03,-1.467799e+01, 1.400000e+03
 2.800000e-03,-1.000000e+01, 2.677000e+03
 2.200000e-03,-6.812921e+00, 3.003000e+03
 6.000000e-04,-4.641589e+00, 8.940000e+02
 4.800000e-03,-3.162278e+00, 9.821000e+03
 1.200000e-03,-2.154435e+00, 6.837000e+03
 1.600000e-03,-1.467799e+00, 1.022100e+04
 8.000000e-04,-1.000000e+00, 5.395000e+03
 4.000000e-04,-6.812921e-01, 3.942000e+03
 1.400000e-03,-4.641589e-01, 9.444000e+03
 4.000000e-04,-3.162278e-01, 1.972000e+03
