Xl,gamma,al
     0.005825,  -100.000000,   164.000000
     0.010725,  -100.000000,  1596.000000
     0.008200,  -100.000000,   280.000000
     0.005650,  -100.000000,    92.000000
     0.006650,  -100.000000,   247.000000
     0.017900,  -100.000000,   623.000000
     0.007850,  -100.000000,   697.000000
     0.014000,  -100.000000,  1642.000000
     0.008650,  -100.000000,   118.000000
     0.005150,  -100.000000,   180.000000
     0.018400,  -100.000000,   713.000000
     0.015975,  -100.000000,  1126.000000
     0.005600,  -100.000000,   158.000000
     0.006325,  -100.000000,   367.000000
     0.005450,  -100.000000,   108.000000
     0.006125,  -100.000000,    70.000000
     0.013075,  -100.000000,   313.000000
     0.024325,  -100.000000,   493.000000
     0.007025,  -100.000000,   403.000000
     0.007350,  -100.000000,   184.000000
     0.005325,  -100.000000,   301.000000
     0.012900,  -100.000000,   181.000000
     0.010700,  -100.000000,   246.000000
     0.008875,  -100.000000,   717.000000
     0.006950,  -100.000000,   293.000000
     0.006675,  -100.000000,   331.000000
     0.008475,  -100.000000,   338.000000
     0.005950,  -100.000000,    74.000000
     0.008575,  -100.000000,   240.000000
     0.006925,  -100.000000,   151.000000
     0.007025,  -100.000000,   146.000000
     0.005175,  -100.000000,   220.000000
     0.007550,  -100.000000,   263.000000
     0.007250,  -100.000000,   388.000000
     0.015950,  -100.000000,   257.000000
     0.010650,  -100.000000,  1312.000000
     0.005725,  -100.000000,   387.000000
     0.006425,  -100.000000,  1115.000000
     0.011425,  -100.000000,   220.000000
     0.007475,  -100.000000,   266.000000
     0.005575,  -100.000000,    79.000000
     0.010500,  -100.000000,   549.000000
     0.008625,  -100.000000,   160.000000
     0.006125,  -100.000000,   182.000000
     0.006800,  -100.000000,   100.000000
     0.008050,  -100.000000,   202.000000
     0.012850,  -100.000000,   215.000000
     0.014825,  -100.000000,   602.000000
     0.005600,  -100.000000,   280.000000
     0.005100,  -100.000000,   107.000000
     0.007000,  -100.000000,    58.000000
     0.012150,  -100.000000,   477.000000
     0.005250,  -100.000000,   179.000000
     0.011100,  -100.000000,   398.000000
     0.010825,  -100.000000,   307.000000
     0.010700,  -100.000000,   720.000000
     0.005200,  -100.000000,   165.000000
     0.005050,  -100.000000,   105.000000
     0.013325,  -100.000000,  1797.000000
     0.006525,  -100.000000,    86.000000
     0.011850,  -100.000000,   875.000000
     0.006525,  -100.000000,   213.000000
     0.005125,  -100.000000,   235.000000
     0.006200,  -100.000000,   474.000000
     0.005625,  -100.000000,   373.000000
     0.007475,  -100.000000,   109.000000
     0.007850,  -100.000000,   202.000000
     0.005225,  -100.000000,    92.000000
     0.007150,  -100.000000,   153.000000
     0.007350,  -100.000000,   122.000000
     0.009850,  -100.000000,   232.000000
     0.007050,  -100.000000,   128.000000
     0.006625,  -100.000000,   211.000000
     0.009225,  -100.000000,   351.000000
     0.006400,  -100.000000,   333.000000
     0.006325,  -100.000000,   159.000000
     0.017700,  -100.000000,   422.000000
     0.006975,  -100.000000,   931.000000
     0.006150,  -100.000000,   468.000000
     0.008475,  -100.000000,   580.000000
     0.005750,  -100.000000,    79.000000
     0.006225,  -100.000000,   549.000000
     0.015925,  -100.000000,   372.000000
     0.005075,  -100.000000,   733.000000
     0.005750,  -100.000000,   369.000000
     0.008075,  -100.000000,   359.000000
     0.012600,  -100.000000,   159.000000
     0.006500,  -100.000000,   547.000000
     0.013625,  -100.000000,   219.000000
     0.006700,  -100.000000,   171.000000
     0.009125,  -100.000000,   323.000000
     0.008275,  -100.000000,   214.000000
     0.007350,  -100.000000,   322.000000
     0.015175,  -100.000000,   878.000000
     0.008200,  -100.000000,   162.000000
     0.007200,  -100.000000,    98.000000
     0.006325,  -100.000000,   965.000000
     0.010200,  -100.000000,   186.000000
     0.006300,  -100.000000,   166.000000
     0.005975,  -100.000000,   776.000000
     0.013075,  -100.000000,   416.000000
     0.018550,  -100.000000,   197.000000
     0.024125,  -100.000000,   497.000000
     0.007950,  -100.000000,   614.000000
     0.005725,  -100.000000,   441.000000
     0.013925,  -100.000000,   205.000000
     0.009550,  -100.000000,   202.000000
     0.006375,  -100.000000,   107.000000
     0.009850,  -100.000000,   130.000000
     0.008375,  -100.000000,   245.000000
