Xl,gamma,al,exp.al,all.age
 3.000000e-04,-1.000000e+02, 1.000000e+00, 1.102226e+01, 1.000000e+00
 7.000000e-04,-1.000000e+02, 8.000000e+00, 2.154790e+01, 2.000000e+00
 1.900000e-03,-1.000000e+02, 2.400000e+01, 4.379597e+01, 1.900000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 1.200000e-03,-1.000000e+02, 1.400000e+01, 3.193177e+01, 2.900000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 4.100000e-03,-1.000000e+02, 4.200000e+01, 7.133343e+01, 1.500000e+01
 5.000000e-04,-1.000000e+02, 1.600000e+01, 1.664434e+01, 1.700000e+01
 8.000000e-04,-1.000000e+02, 9.000000e+00, 2.380789e+01, 3.000000e+00
 2.200000e-03,-1.000000e+02, 4.400000e+01, 4.825687e+01, 7.000000e+00
 4.500000e-03,-1.000000e+02, 3.500000e+01, 7.540034e+01, 7.000000e+00
 5.300000e-03,-1.000000e+02, 2.260000e+02, 8.295874e+01, 6.200000e+01
 3.600000e-03,-1.000000e+02, 8.000000e+00, 6.592917e+01, 4.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 7.000000e-04,-1.000000e+02, 9.000000e+00, 2.154790e+01, 1.000000e+01
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 2.250000e-02,-1.000000e+02, 8.000000e+01, 1.730976e+02, 1.670000e+02
 4.000000e-04,-1.000000e+02, 1.000000e+00, 1.394566e+01, 1.900000e+01
 4.200000e-03,-1.000000e+02, 3.020000e+02, 7.237016e+01, 1.400000e+01
 8.000000e-04,-1.000000e+02, 3.500000e+01, 2.380789e+01, 2.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 1.500000e-03,-1.000000e+02, 1.000000e+01, 3.730983e+01, 5.500000e+01
 5.000000e-03,-1.000000e+02, 6.000000e+01, 8.020674e+01, 3.500000e+01
 6.000000e-04,-1.000000e+02, 1.500000e+01, 1.916765e+01, 2.000000e+00
 3.000000e-04,-1.000000e+02, 3.000000e+00, 1.102226e+01, 4.000000e+00
 3.000000e-04,-1.000000e+02, 3.200000e+01, 1.102226e+01, 8.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 4.000000e-04,-1.000000e+02, 1.000000e+00, 1.394566e+01, 3.000000e+00
 4.100000e-03,-1.000000e+02, 3.100000e+01, 7.133343e+01, 5.200000e+01
 1.600000e-03,-1.000000e+02, 1.200000e+01, 3.899722e+01, 2.200000e+01
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 4.000000e-04,-1.000000e+02, 3.000000e+00, 1.394566e+01, 1.100000e+02
 1.400000e-03,-1.000000e+02, 1.000000e+01, 3.557274e+01, 9.000000e+00
 2.100000e-03,-1.000000e+02, 3.600000e+01, 4.680363e+01, 1.600000e+01
 7.000000e-04,-1.000000e+02, 2.000000e+00, 2.154790e+01, 4.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 3.000000e-04,-1.000000e+02, 1.000000e+00, 1.102226e+01, 5.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 5.100000e-03,-1.000000e+02, 6.600000e+01, 8.113447e+01, 8.400000e+01
